set_no,tau,sd_best_tau,r_sqr,sd_tau_50,sd_best_tao_ft
1,50,16.09,92.4,16.09,46.71
2,40,13,88.9,13.67,36.42
3,30,11.22,72.3,12.45,13.46
4,60,6.01,86.7,6.12,9
5,40,12.92,87.8,14.52,30.97
6,40,13.47,93.3,13.52,13.32
7,80,15.61,49.7,15.9,17.11
8,10,10.43,81.7,22.42,23
9,20,19.85,88.8,20.34,19.56
10,50,18.33,95.2,18.33,18.1
11,30,4.88,98.8,6.11,6.95
12,300,12.28,93.8,12.43,12.16
13,50,7.76,99.4,7.76,7.67
14,30,11.08,98,11.32,11.22
15,60,10.51,95.7,10.75,15.2
16,10,6.28,97.3,7.3,7.55
17,110,5.11,98.3,5.71,5.74
18,20,7.51,86.4,10.12,11.1
19,170,4.12,98.8,4.46,4.05
20,20,5.79,98.8,9.26,9.98
21,20,20.04,96.7,25.17,25.55
22,365,15.08,98.3,15.84,15.41
23,40,10.01,99.1,11.65,14.78
24,30,2.91,99.6,5.13,6.17
25,20,7.25,97.4,7.45,7.34
26,100,5.18,93.9,5.33,5.09
27,300,3.71,97.3,4.03,3.65
28,50,5.38,95.5,5.38,5.28
29,110,6.72,85.6,6.9,6.59
30,70,1.95,98,2.1,2.21
31,365,3.74,91.6,4.02,3.68
32,20,4.89,96.1,5.8,4.83
33,40,3.16,99.1,3.22,3.19
34,120,7.24,96.1,7.82,7.11
35,90,15.34,86.3,15.51,15.07
36,365,5.53,95.9,6.17,5.43
37,180,3.01,99,4.25,2.97
